进了吗,选手,层数,时间,视频
1,这账号即将注销,99,15:30,https://www.bilibili.com/video/BV1M142187Qh
1,Mizore12,99,17:21,
1,ysa冰糖,99,19:39,https://www.bilibili.com/video/BV1gi421a7Un
1,水色寻落黑,99,20:51,
1,SGZ-SSSSS,99,19:15,https://www.bilibili.com/video/BV1nz421B74X
1,a起名废,99,18:37,https://www.bilibili.com/video/BV1cE4m1d7cA
1,Chiiqiawa,99,19:24,https://www.bilibili.com/video/BV14b421J7NL
1,唯米、,99,23:12,https://www.bilibili.com/video/BV1dd8peZEkE
1,鱼慕鲸,99,18:22,https://www.bilibili.com/video/BV1cJ8JeoE1h
1,冷尘AI,99,21:01,https://www.bilibili.com/video/BV1X78ue7EGE
1,NullRain,99,19:11,https://www.bilibili.com/video/BV1E58sevEHQ
1,karkimira,99,21:01,https://www.bilibili.com/video/BV17T42167Vw
1,musria,99,21:45,https://www.bilibili.com/video/BV1YT42167fr
0,火星来客yang,9,19:38,
0,九天之枫,99,23:48,https://www.bilibili.com/video/BV1YT42167fr
0,刀把ROGER12,99,22:33,
0,创世纪神教教主,99,19:43,
0,大司无码,99,21:01,
0,miku嫁给我,99,20:23,
0,大份烤冷面I,99,25:23,
0,低等生物aU喵,99,23:07,
0,世界の会长,9,26:22,
0,忄亿,99,25:39,https://www.bilibili.com/video/BV1Mb42177jw
0,光耀解说,99,29:52,https://www.bilibili.com/video/BV1Mb42177jw
0,祤漱于灿,99,21:01,https://www.bilibili.com/video/BV1qi421h76b
0,季节日Protarians,9,35:38,
0,钢化玻璃我,99,24:38,
0,远古柱之男,9,29:03,
0,难受阿妈耶,99,23:31,
0,明妖血灵,99,25:15,
0,提刀走脸,9,32:17,
0,八分先生eqm,99,26:50,
0,叶子ui,99,24:18,
0,火华Sparks,9,20:07,
0,heitai-桑,7,14:24,
0,- 心命 -,5,8:36,
0,雷一雷金,99,31:41,
0,摇摇星光,7,18:49,
0,noiby,99,29:09,
0,浅溪白墨谈,5,8:47,
0,请dalao带带我,9,27:57,
0,清长唾溢,5,8:37,https://www.bilibili.com/video/BV1cE4m1d7cA
0,小音理盼你回家,2,1:12,
0,清扬如玉-,1,0:00,
0,JQY666,1,0:00,
2,（自己复盘）,99,16:54,
