进了吗,选手,层数,时间,视频
1,公孙镡,99,20:38,https://www.bilibili.com/video/BV13YGtzmEXN
1,Chiiqiawa,99,18:55,https://www.bilibili.com/video/BV1e8GtzSEna
1,青草包饭,99,11:31,
1,路遇一只鲈鱼,99,20:59,
0,五棵松,99,20:31,
1,少晚艾晴,99,16:37,
1,扑克脸老k,99,17:38,https://www.bilibili.com/video/BV1TyGtzgEXr
1,无头的蛮奇,99,20:02,
1,进击的松鼠君-,99,24:13,https://www.bilibili.com/video/BV1YaGtzEEqS
1,fffffffrans,99,23:46,
1,呵呵呵斥225,99,23:18,
0,虚限、夜白,99,22:30,
0,Light后面一个点,99,21:09,
0,哈基人,13,16:37,
0,五更琉璃,5,16:04,
0,-DeEMO--,99,25:29,
0,炎炎夏日Quincy,99,28:29,https://www.bilibili.com/video/BV1uWGhzHEqm
0,在下控萝莉,13,20:12,https://www.bilibili.com/video/BV1uWGhzHEqm
0,MoVey1,1,2:08,
2,（自己复盘）,99,20:41,
